"","LAD19CD","year","LAD19NM","over","lead","safe","exper","IMD.2019...Extent","under18","region_name","for_profit_percent","third_sector_percent","Cic_n_march","CLA_female_percent","CLA_white_percent","imd","region","profit","white","female","n","third"
"8","E06000001","2018","Hartlepool","Good","Good","Good","Outstanding",0.4973,21.4559962248772,"North East",15.4676258992806,4.31654676258993,278,42.8057553956835,93.1654676258993,0.4973,"North East",15.4676258992806,93.1654676258993,42.8057553956835,2.78,4.31654676258993
"20","E06000002","2019","Middlesbrough","Inadequate","Inadequate","Inadequate","Inadequate",0.571,23.2614555256065,"North East",32.4324324324324,8.49420849420849,518,46.1389961389961,84.5559845559846,0.571,"North East",32.4324324324324,84.5559845559846,46.1389961389961,5.18,8.49420849420849
"29","E06000003","2017","Redcar and Cleveland","Requires improvement to be good","Requires improvement to be good","Requires improvement to be good","Good",0.363,20.2338149332745,"North East",37.4468085106383,7.65957446808511,235,47.6595744680851,96.5957446808511,0.363,"North East",37.4468085106383,96.5957446808511,47.6595744680851,2.35,7.65957446808511
"42","E06000004","2019","Stockton-on-Tees","Requires improvement to be good","Requires improvement to be good","Requires improvement to be good","Requires improvement to be good",0.3024,22.2186188864341,"North East",22,6.6,500,47.8,89.2,0.3024,"North East",22,89.2,47.8,5,6.6
"52","E06000005","2018","Darlington","Requires improvement to be good","Requires improvement to be good","Requires improvement to be good","Requires improvement to be good",0.2891,21.07051029409,"North East",33.1775700934579,12.6168224299065,214,39.2523364485981,91.588785046729,0.2891,"North East",33.1775700934579,91.588785046729,39.2523364485981,2.14,12.6168224299065
"65","E06000006","2020","Halton","Requires improvement to be good","Requires improvement to be good","Requires improvement to be good","Requires improvement to be good",0.4678,22.2296719302707,"North West",34.6570397111913,NA,277,46.2093862815885,96.7509025270758,0.4678,"North West",34.6570397111913,96.7509025270758,46.2093862815885,2.77,NA
"75","E06000007","2019","Warrington","Good","Good","Good","Good",0.1837,21.1371622844191,"North West",27.2727272727273,NA,385,41.038961038961,86.4935064935065,0.1837,"North West",27.2727272727273,86.4935064935065,41.038961038961,3.85,NA
"84","E06000008","2017","Blackburn with Darwen","Good","Good","Requires improvement to be good","Good",0.5519,25.9840561395962,"North West",12.7371273712737,5.14905149051491,369,43.6314363143631,81.3008130081301,0.5519,"North West",12.7371273712737,81.3008130081301,43.6314363143631,3.69,5.14905149051491
"96","E06000009","2018","Blackpool","Inadequate","Inadequate","Inadequate","Requires improvement to be good",0.5766,20.7487168443344,"North West",30.5816135084428,2.81425891181989,533,45.9662288930582,93.9962476547842,0.5766,"North West",30.5816135084428,93.9962476547842,45.9662288930582,5.33,2.81425891181989
"108","E06000010","2019","Kingston upon Hull","Inadequate","Requires improvement to be good","Inadequate","Requires improvement to be good",0.5505,22.0842411597595,"Yorkshire and the Humber",19.0416141235813,1.38713745271122,793,46.6582597730139,88.7767969735183,0.5505,"Yorkshire and the Humber",19.0416141235813,88.7767969735183,46.6582597730139,7.93,1.38713745271122
